City,Location,State,EstimateLow,EstimateHigh,Estimate Full,Actor,Event Type,Source1,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Greer,US Citizenship & Immigration Service,SC,100,150,100 to 150,Lights for Liberty Greer,vigil,https://www.facebook.com/events/856638094707276,34.9387279,-82.2270568,34.9363509,-82.2622168,Link
Santa Maria,Perlman Park,CA,100,100,100,General,rally,https://www.lightsforliberty.org/,34.9530337,-120.4357191,34.9532087,-120.4770891,Link
York,Moss Justice Center,NC,200,200,200,Fort Mill District 3 Democrats,vigil,https://www.facebook.com/events/396883404264124/,34.9943021,-81.2420175,34.9913131,-81.2327375,Link
York,Moss Justice Center,SC,175,250,175 to 250,"Lights for Liberty York, SC",vigil,https://www.facebook.com/events/396883404264124/,34.9943021,-81.2420175,34.9979161,-81.2091075,Link
Albuquerque,5441 Watson Drive SE,NM,418,418,418,Three Sisters Collective; RAICES,vigil,https://www.facebook.com/events/443101756269001/,35.0843859,-106.650422,35.0880559,-106.688272,Link
Murphy,on the steps of the Cherokee County Courthouse,NC,,,,general protestors,protest,https://www.cherokeescout.com/news-subscribers/protestors-pause-remember-detainees,35.0875836,-84.0346315,35.0856226,-84.0671115,Link
Arroyo Grande,Heritage Square,CA,132,132,132,General,General,https://www.lightsforliberty.org/,35.1185868,-120.5907252,35.1151718,-120.6053452,Link
Memphis,Immigration Court; outside Brinkley Plaza ,TN,100,100,100,general protestors,vigil,https://www.facebook.com/events/478060222949130/,35.1495343,-90.0489801,35.1508373,-90.0503901,Link
Kingman,Locomotive Park,AZ,41,41,41,Indivisible Kingman; Indivisible Arizona; AZ Resist,General,https://www.facebook.com/events/449761928934563/,35.189443,-114.0530065,35.190793,-114.0337365,Link
Flagstaff,city hall,AZ,148,148,148,Together We Will Northern Arizona; AZ Resist,General,https://www.facebook.com/events/916446212029503/,35.1982836,-111.651302,35.2006426,-111.688842,Link
Norman,STASH,OK,212,212,212,STASH,vigil,https://www.facebook.com/events/395821661036270/,35.2225668,-97.4394777,35.2262418,-97.4049477,Link
Savannah,Hardin County Courthouse,TN,10,10,10,Indivisible Hardin County,vigil,https://www.facebook.com/events/1557108407758186/,35.2248034,-88.2492037,35.2243554,-88.2383637,Link
Charlotte,3900 Gossett Ave,NC,22,22,22,general protestors,vigil,https://www.facebook.com/events/422188168369266/,35.2270869,-80.8431267,35.2316539,-80.8111067,Link
San Luis Obipso,Superior Court,CA,156,156,156,Women's March San Luis Obispo,rally; vigil,https://www.facebook.com/events/380341599273224/,35.2827524,-120.6596156,35.2851704,-120.6720556,Link
Hendersonville,Corner of 6th Ave W and Justice St; In front of ICE office on 6th Ave West,NC,175,200,175 to 200,general protestors,vigil,https://www.facebook.com/events/2360787960914449/,35.3187279,-82.4609528,35.3151009,-82.4533128,Link
Biscoe,,NC,8,8,8,general protestors,vigil,https://twitter.com/kckinch/status/1149919662051930113,35.3598924,-79.7797617,35.3574734,-79.7550517,Link
Bakersfield,Truxton Ave.; ICE office,CA,400,400,400,Women's March Kern County,march,https://www.facebook.com/events/1865259140241963/,35.3732921,-119.0187125,35.3762271,-119.0462925,Link
Concord,Cabarrus County Democratic Party,NC,26,26,26,Cabarrus County Democratic Party,vigil,https://www.facebook.com/events/453759175406510/,35.4087517,-80.579511,35.4112367,-80.616851,Link
Oklahoma City,,OK,50,50,50,general protestors,vigil,https://twitter.com/beaurue/status/1149900471320088576,35.4675602,-97.5164276,35.4703862,-97.5539876,Link
Waynesville,First United Methodist Church of Waynesville,NC,68,68,68,general protestors,vigil,https://www.facebook.com/events/635118346997828/,35.4887145,-82.9887477,35.4928955,-82.9780977,Link
Asheville,Vance Monument,NC,,,,General,General,https://www.facebook.com/events/2416967011716739/,35.5950581,-82.5514869,35.5942831,-82.5495169,Link
Black Mountain,Town Square,NC,250,300,250 to 300,general protestors,vigil,https://www.facebook.com/events/315834779292423/,35.6178951,-82.3212302,35.6138991,-82.3270902,Link
Santa Fe,Capitol,NM,500,500,500,Santa Fe Democratic Party,vigil,https://www.facebook.com/events/700178960428044/,35.6869752,-105.937799,35.6822782,-105.897399,Link
Pittsboro,Chatham County Historical Courthouse,NC,44,44,44,general protestors,protest,https://www.facebook.com/events/411740356097933/,35.7201463,-79.1772371,35.7196063,-79.2205171,Link
Hickory,Corner of LR Blvd and Hwy  70,NC,150,150,150,Love is a Verb; Sister District Project NC,protest; vigil,https://www.facebook.com/events/2301024953479993/,35.7344538,-81.3444573,35.7330978,-81.3861873,Link
Maryville,The Bird & The Book,TN,52,52,52,general protestors,vigil,https://www.facebook.com/events/2480158902213364/,35.7564719,-83.9704593,35.7567159,-83.9616893,Link
