protest,FIPS,n,FIPS2
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
FBT,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
LFL,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
GRP,4013,1,04013
FBT,28081,1,28081
GRP,28081,1,28081
GRP,28071,1,28071
LFL,28071,1,28071
FBT,38035,1,38035
LFL,38035,1,38035
GRP,42045,1,42045
GRP,42045,1,42045
GRP,42045,1,42045
LFL,42045,1,42045
GRP,42045,1,42045
FBT,42045,1,42045
GRP,44003,1,44003
GRP,44003,1,44003
GRP,31053,1,31053
GRP,54057,1,54057
GRP,4009,1,04009
LFL,8049,1,08049
GRP,13299,1,13299
GRP,29007,1,29007
FBT,44007,1,44007
GRP,44007,1,44007
FBT,44007,1,44007
FBT,44007,1,44007
LFL,44007,1,44007
GRP,44007,1,44007
GRP,44007,1,44007
LFL,54011,1,54011
GRP,54011,1,54011
GRP,6007,1,06007
GRP,6007,1,06007
GRP,6007,1,06007
GRP,6007,1,06007
FBT,6007,1,06007
GRP,18037,1,18037
LFL,18037,1,18037
GRP,18037,1,18037
GRP,19011,1,19011
GRP,26093,1,26093
GRP,26093,1,26093
GRP,26093,1,26093
GRP,26093,1,26093
GRP,26093,1,26093
GRP,27099,1,27099
GRP,28053,1,28053
GRP,21021,1,21021
LFL,21021,1,21021
GRP,37199,1,37199
GRP,37199,1,37199
GRP,1047,1,01047
GRP,18095,1,18095
FBT,18095,1,18095
GRP,18095,1,18095
GRP,20055,1,20055
GRP,29101,1,29101
GRP,31109,1,31109
GRP,31109,1,31109
LFL,31109,1,31109
GRP,31109,1,31109
GRP,31109,1,31109
GRP,31109,1,31109
FBT,31109,1,31109
FBT,31109,1,31109
GRP,34035,1,34035
GRP,34035,1,34035
GRP,34035,1,34035
FBT,34035,1,34035
GRP,36121,1,36121
GRP,39159,1,39159
GRP,39159,1,39159
LFL,42063,1,42063
FBT,42063,1,42063
GRP,37091,1,37091
FBT,48291,1,48291
GRP,22055,1,22055
FBT,22055,1,22055
LFL,22055,1,22055
GRP,28121,1,28121
FBT,28049,1,28049
GRP,28049,1,28049
GRP,37051,1,37051
LFL,41071,1,41071
GRP,42077,1,42077
GRP,42077,1,42077
LFL,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
FBT,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
GRP,48453,1,48453
LFL,48339,1,48339
GRP,48339,1,48339
GRP,48339,1,48339
GRP,48339,1,48339
GRP,48339,1,48339
GRP,48339,1,48339
GRP,48339,1,48339
LFL,51195,1,51195
GRP,51840,1,51840
GRP,51840,1,51840
GRP,39139,1,39139
GRP,29019,1,29019
GRP,29019,1,29019
LFL,29019,1,29019
FBT,29019,1,29019
GRP,35049,1,35049
GRP,35049,1,35049
FBT,35049,1,35049
GRP,35049,1,35049
LFL,35049,1,35049
GRP,35049,1,35049
GRP,41017,1,41017
GRP,41017,1,41017
GRP,41017,1,41017
FBT,41017,1,41017
GRP,41017,1,41017
GRP,41017,1,41017
FBT,41017,1,41017
LFL,41017,1,41017
LFL,42117,1,42117
GRP,37137,1,37137
GRP,56033,1,56033
GRP,42103,1,42103
FBT,42103,1,42103
LFL,42103,1,42103
GRP,42103,1,42103
GRP,37155,1,37155
GRP,48021,1,48021
LFL,48021,1,48021
GRP,48309,1,48309
GRP,48309,1,48309
GRP,48039,1,48039
GRP,48039,1,48039
GRP,39013,1,39013
FBT,39173,1,39173
GRP,39173,1,39173
FBT,55087,1,55087
LFL,55087,1,55087
GRP,55087,1,55087
GRP,55087,1,55087
GRP,41007,1,41007
LFL,41007,1,41007
FBT,41007,1,41007
GRP,42081,1,42081
GRP,42037,1,42037
GRP,48377,1,48377
GRP,49021,1,49021
LFL,48347,1,48347
FBT,48347,1,48347
GRP,48477,1,48477
LFL,48477,1,48477
FBT,48477,1,48477
GRP,49003,1,49003
LFL,21017,1,21017
GRP,37005,1,37005
LFL,51073,1,51073
GRP,51171,1,51171
LFL,51171,1,51171
GRP,54045,1,54045
GRP,8051,1,08051
GRP,8051,1,08051
GRP,37085,1,37085
GRP,48381,1,48381
GRP,8123,1,08123
GRP,8123,1,08123
GRP,8123,1,08123
GRP,13313,1,13313
FBT,13313,1,13313
FBT,37095,1,37095
LFL,51790,1,51790
GRP,51790,1,51790
FBT,51790,1,51790
GRP,4003,1,04003
FBT,4003,1,04003
GRP,4003,1,04003
GRP,4003,1,04003
LFL,4003,1,04003
GRP,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
FBT,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
FBT,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
FBT,6111,1,06111
GRP,6111,1,06111
LFL,6111,1,06111
GRP,6111,1,06111
LFL,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
GRP,6111,1,06111
FBT,6111,1,06111
GRP,6111,1,06111
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
FBT,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
LFL,6059,1,06059
FBT,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
LFL,6059,1,06059
GRP,6059,1,06059
LFL,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
LFL,6059,1,06059
LFL,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
LFL,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
GRP,6059,1,06059
LFL,6059,1,06059
GRP,6059,1,06059
GRP,12053,1,12053
FBT,12053,1,12053
GRP,13029,1,13029
GRP,17119,1,17119
LFL,17119,1,17119
GRP,12015,1,12015
GRP,12015,1,12015
GRP,19163,1,19163
GRP,19163,1,19163
FBT,19163,1,19163
GRP,19163,1,19163
GRP,19163,1,19163
GRP,5015,1,05015
GRP,6029,1,06029
GRP,6029,1,06029
LFL,6029,1,06029
GRP,6029,1,06029
GRP,6029,1,06029
FBT,6029,1,06029
GRP,6029,1,06029
GRP,12071,1,12071
FBT,12071,1,12071
LFL,12071,1,12071
GRP,12071,1,12071
GRP,12071,1,12071
GRP,12071,1,12071
GRP,12071,1,12071
GRP,12071,1,12071
GRP,12071,1,12071
GRP,8107,1,08107
FBT,8107,1,08107
GRP,21059,1,21059
GRP,21059,1,21059
GRP,21059,1,21059
GRP,16005,1,16005
LFL,16005,1,16005
FBT,16005,1,16005
GRP,16081,1,16081
GRP,24015,1,24015
LFL,24015,1,24015
GRP,24015,1,24015
GRP,24015,1,24015
GRP,24015,1,24015
FBT,26147,1,26147
GRP,26147,1,26147
GRP,26147,1,26147
LFL,26147,1,26147
GRP,26147,1,26147
FBT,26147,1,26147
FBT,6013,1,06013
GRP,6013,1,06013
GRP,6013,1,06013
FBT,6013,1,06013
GRP,6013,1,06013
GRP,6013,1,06013
GRP,6013,1,06013
LFL,6013,1,06013
GRP,6013,1,06013
GRP,6013,1,06013
GRP,6013,1,06013
GRP,6013,1,06013
GRP,6013,1,06013
LFL,6013,1,06013
FBT,6013,1,06013
GRP,6013,1,06013
LFL,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
FBT,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
FBT,9009,1,09009
GRP,9009,1,09009
LFL,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
LFL,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
GRP,9009,1,09009
GRP,18173,1,18173
GRP,12069,1,12069
GRP,12069,1,12069
GRP,12069,1,12069
FBT,12069,1,12069
GRP,12069,1,12069
GRP,12069,1,12069
GRP,12069,1,12069
FBT,23013,1,23013
LFL,23013,1,23013
GRP,26163,1,26163
FBT,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
FBT,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
LFL,26163,1,26163
LFL,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
GRP,26163,1,26163
FBT,28033,1,28033
GRP,28033,1,28033
GRP,24027,1,24027
GRP,24027,1,24027
GRP,24027,1,24027
LFL,24027,1,24027
GRP,24027,1,24027
FBT,29113,1,29113
GRP,10001,1,10001
FBT,10001,1,10001
GRP,10001,1,10001
GRP,10001,1,10001
LFL,10001,1,10001
FBT,18151,1,18151
GRP,26081,1,26081
GRP,26081,1,26081
FBT,26081,1,26081
LFL,26081,1,26081
LFL,26081,1,26081
GRP,26081,1,26081
GRP,26081,1,26081
GRP,26081,1,26081
LFL,26081,1,26081
GRP,26081,1,26081
GRP,34029,1,34029
GRP,34029,1,34029
GRP,34029,1,34029
GRP,34029,1,34029
FBT,34029,1,34029
GRP,18167,1,18167
FBT,18167,1,18167
FBT,36015,1,36015
FBT,34003,1,34003
GRP,34003,1,34003
FBT,34003,1,34003
GRP,34003,1,34003
FBT,34003,1,34003
GRP,34003,1,34003
LFL,34003,1,34003
LFL,34003,1,34003
LFL,34003,1,34003
GRP,34003,1,34003
GRP,34003,1,34003
FBT,34003,1,34003
GRP,34003,1,34003
GRP,34003,1,34003
LFL,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
LFL,36119,1,36119
LFL,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
FBT,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
LFL,36119,1,36119
GRP,36119,1,36119
GRP,36119,1,36119
FBT,36119,1,36119
GRP,36063,1,36063
GRP,37189,1,37189
LFL,37189,1,37189
GRP,27023,1,27023
GRP,42089,1,42089
GRP,42089,1,42089
LFL,42089,1,42089
GRP,42089,1,42089
GRP,42089,1,42089
GRP,35043,1,35043
LFL,26091,1,26091
GRP,26091,1,26091
GRP,26091,1,26091
FBT,26091,1,26091
GRP,26091,1,26091
GRP,27157,1,27157
GRP,27157,1,27157
GRP,27071,1,27071
GRP,17023,1,17023
GRP,17023,1,17023
FBT,27005,1,27005
GRP,34023,1,34023
GRP,34023,1,34023
GRP,34023,1,34023
LFL,34023,1,34023
GRP,34023,1,34023
FBT,34023,1,34023
LFL,34023,1,34023
FBT,34023,1,34023
GRP,34023,1,34023
GRP,34023,1,34023
FBT,20177,1,20177
LFL,20177,1,20177
GRP,20177,1,20177
GRP,20177,1,20177
GRP,48485,1,48485
GRP,48485,1,48485
GRP,48485,1,48485
GRP,48485,1,48485
FBT,48485,1,48485
GRP,54107,1,54107
FBT,54107,1,54107
GRP,54107,1,54107
GRP,54033,1,54033
GRP,25009,1,25009
FBT,25009,1,25009
GRP,25009,1,25009
LFL,25009,1,25009
FBT,25009,1,25009
LFL,25009,1,25009
FBT,25009,1,25009
GRP,25009,1,25009
GRP,25009,1,25009
LFL,25009,1,25009
LFL,25009,1,25009
FBT,25009,1,25009
GRP,47019,1,47019
GRP,18057,1,18057
GRP,18057,1,18057
GRP,18057,1,18057
GRP,18057,1,18057
GRP,18057,1,18057
FBT,18097,1,18097
GRP,18097,1,18097
GRP,18097,1,18097
GRP,18097,1,18097
GRP,18097,1,18097
GRP,18097,1,18097
GRP,18097,1,18097
LFL,18097,1,18097
GRP,18097,1,18097
GRP,18097,1,18097
GRP,18097,1,18097
GRP,18097,1,18097
GRP,18097,1,18097
GRP,18097,1,18097
GRP,28089,1,28089
FBT,26033,1,26033
LFL,26033,1,26033
LFL,26033,1,26033
GRP,12089,1,12089
GRP,12089,1,12089
LFL,12089,1,12089
GRP,28051,1,28051
LFL,27049,1,27049
GRP,42119,1,42119
LFL,42119,1,42119
LFL,33003,1,33003
LFL,33003,1,33003
FBT,33003,1,33003
GRP,33003,1,33003
LFL,51770,1,51770
FBT,51770,1,51770
GRP,19145,1,19145
GRP,19145,1,19145
FBT,41011,1,41011
GRP,41011,1,41011
GRP,41011,1,41011
LFL,41011,1,41011
GRP,41011,1,41011
GRP,41019,1,41019
FBT,41019,1,41019
GRP,12023,1,12023
LFL,27123,1,27123
GRP,27123,1,27123
GRP,27123,1,27123
GRP,27123,1,27123
GRP,27123,1,27123
LFL,27123,1,27123
GRP,27123,1,27123
GRP,27123,1,27123
GRP,27123,1,27123
LFL,27123,1,27123
GRP,27123,1,27123
GRP,27123,1,27123
GRP,27123,1,27123
LFL,9015,1,09015
GRP,9015,1,09015
FBT,9015,1,09015
GRP,9011,1,09011
GRP,9011,1,09011
GRP,9011,1,09011
GRP,9011,1,09011
LFL,9011,1,09011
GRP,9011,1,09011
FBT,9011,1,09011
GRP,9011,1,09011
GRP,9011,1,09011
GRP,41005,1,41005
GRP,41005,1,41005
GRP,41005,1,41005
GRP,41005,1,41005
GRP,41005,1,41005
GRP,6045,1,06045
FBT,6045,1,06045
LFL,6045,1,06045
FBT,6045,1,06045
GRP,6045,1,06045
GRP,6045,1,06045
FBT,6045,1,06045
GRP,6045,1,06045
LFL,6045,1,06045
GRP,8035,1,08035
GRP,8035,1,08035
GRP,8035,1,08035
GRP,8035,1,08035
GRP,8035,1,08035
GRP,48259,1,48259
LFL,36065,1,36065
GRP,36065,1,36065
GRP,36065,1,36065
GRP,36065,1,36065
LFL,36065,1,36065
GRP,36065,1,36065
GRP,36065,1,36065
FBT,37113,1,37113
GRP,37113,1,37113
LFL,54039,1,54039
GRP,54039,1,54039
GRP,42039,1,42039
FBT,21205,1,21205
GRP,47187,1,47187
GRP,47187,1,47187
GRP,47187,1,47187
GRP,47187,1,47187
LFL,47187,1,47187
GRP,47187,1,47187
GRP,16069,1,16069
FBT,16069,1,16069
GRP,5033,1,05033
FBT,53015,1,53015
GRP,53015,1,53015
GRP,12017,1,12017
FBT,12017,1,12017
GRP,45083,1,45083
LFL,55025,1,55025
GRP,55025,1,55025
GRP,55025,1,55025
GRP,55025,1,55025
FBT,55025,1,55025
GRP,55025,1,55025
GRP,55025,1,55025
GRP,42127,1,42127
FBT,36077,1,36077
GRP,36077,1,36077
LFL,12103,1,12103
