Protest,g_lat,g_lon
LFL,21.3069444,-157.8583333
LFL,25.4687224,-80.4775569
LFL,26.007765,-80.2962555
LFL,26.1420358,-81.7948103
LFL,26.2034071,-98.2300124
LFL,26.6167555,-80.0684479
LFL,26.640628,-81.8723084
LFL,27.197548,-80.2528257
LFL,27.3364347,-82.5306527
LFL,27.8005828,-97.396381
LFL,27.8005828,-97.396381
LFL,27.950575,-82.4571776
LFL,28.0394654,-81.9498042
LFL,28.2188992,-82.4575938
LFL,28.3188815,-81.5407793
LFL,28.3922182,-80.6077132
LFL,28.5383355,-81.3792365
LFL,28.927019,-82.0037608
LFL,29.2108147,-81.0228331
LFL,29.3474565,-99.1414249
LFL,29.4241219,-98.4936282
LFL,29.5652286,-98.3364025
LFL,29.6516344,-82.3248262
LFL,29.7030024,-98.1244531
LFL,29.7604267,-95.3698028
LFL,29.7604267,-95.3698028
LFL,29.9012437,-81.3124341
LFL,29.9510658,-90.0715323
LFL,30.1104947,-97.3152701
LFL,30.1658207,-95.4612625
LFL,30.1668828,-96.3977442
LFL,30.2240897,-92.0198427
LFL,30.267153,-97.7430608
LFL,30.3321838,-81.655651
LFL,30.4382559,-84.2807329
LFL,30.4514677,-91.1871466
LFL,30.4754702,-90.1009108
LFL,30.5707551,-97.4094438
LFL,30.6332618,-97.6779842
LFL,30.6696818,-81.4625919
LFL,30.6743643,-96.3699632
LFL,30.6953657,-88.0398912
LFL,31.0560132,-97.464453
LFL,31.4481547,-109.9284084
LFL,31.6035129,-94.6554874
LFL,31.7618778,-106.4850217
LFL,32.0808989,-81.091203
LFL,32.2226066,-110.9747108
LFL,32.3792233,-86.3077368
LFL,32.4487876,-81.7831674
LFL,32.4609764,-84.9877094
LFL,32.5007037,-94.7404891
LFL,32.5232053,-92.637927
LFL,32.5420821,-97.3208492
LFL,32.6926512,-114.6276916
LFL,32.7129475,-117.1604148
LFL,32.735687,-97.1080656
LFL,32.7558962,-111.554844
LFL,32.7592955,-97.7972544
LFL,32.7764749,-79.9310512
LFL,32.7766642,-96.7969879
LFL,32.8406946,-83.6324022
LFL,33.1284047,-107.2528069
LFL,33.1887271,-95.2213321
LFL,33.2098407,-87.5691735
LFL,33.376834,-79.2944964
LFL,33.4151843,-111.8314724
LFL,33.4483771,-112.0740373
LFL,33.4936391,-117.1483648
LFL,33.5604168,-81.7195533
LFL,33.5956813,-83.467944
LFL,33.6198251,-86.6088756
LFL,33.6356618,-96.6088805
LFL,33.6594835,-117.9988026
LFL,33.6598257,-85.8316318
LFL,33.6845673,-117.8265049
LFL,33.7454725,-117.867653
LFL,33.7879139,-117.8531007
LFL,33.8032009,-118.0718894
LFL,33.8095487,-84.2396434
LFL,33.8491816,-118.3884078
LFL,33.8847361,-118.4109089
LFL,33.9519347,-83.357567
LFL,33.9562149,-83.9879625
LFL,34.0007104,-81.0348144
LFL,34.014264,-86.0066386
LFL,34.0165053,-118.1137535
LFL,34.0522342,-118.2436849
LFL,34.0522342,-118.2436849
LFL,34.0753762,-84.2940899
LFL,34.0961111,-118.1058333
LFL,34.1083449,-117.2897652
LFL,34.1489719,-118.451357
LFL,34.1633045,-118.3841777
LFL,34.1739857,-84.5013187
LFL,34.1808392,-118.3089661
LFL,34.190162,-118.1313188
