CityTown,Location,StateTerritory,Country,Date,EstimateLow,EstimateHigh,Estimate,Actor,Source1,Source2,Source3,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Petoskey,"People's Park - ""Hole in the Ground""",MI,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/19860/signup/?source=&s=,https://twitter.com/Chirparrooo/status/1013112066889125889,https://www.facebook.com/fhershiser/posts/10213528942392568,45.3733428,-84.9553296,45.3759858,-84.9570976,Link
Philadelphia,Philadelphia City Hall North Plaza,PA,US,6/30/2018,3000,3000,"3,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19879/signup/?source=&s=,http://www.philly.com/philly/news/ice-protests-philadelphia-immigration-family-separation-20180630.html?mobi=true,,39.9525839,-75.1652215,39.9574459,-75.1696815,Link
Phoenix,Arizona Senate,AZ,US,6/30/2018,800,810,800 to 810,Families Belong Together,https://act.moveon.org/event/families-belong-together/20381/signup/?source=&s=,https://eu.azcentral.com/story/news/politics/immigration/2018/06/30/family-separation-trump-immigration-protests-arizona/747184002/,https://www.facebook.com/events/525610631191871/,33.4483771,-112.0740373,33.4450251,-112.0750113,Link
Piedmont,Montclair Park,CA,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/19941/signup/?source=&s=,,,37.8243715,-122.231635,37.8273235,-122.230863,Link
Pikeville,"University of Pikeville, at the bottom of the 99 Steps",KY,US,6/30/2018,,,Unknown,Families Belong Together,https://twitter.com/atticascott/status/1013180842347245568,,,37.4792672,-82.5187629,37.4775202,-82.5143949,Link
Pinedale,Jackie Downie's House,WY,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20459/signup/?source=&s=,,,42.8678809,-109.8633501,42.8662029,-109.8678761,Link
Pinetop,White Mountain Blvd.,AZ,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20631/signup/?source=&s=,,,34.1425438,-109.9603843,34.1402228,-109.9648743,Link
Pittsboro,"Historic Courthouse, Downtown Pittsboro",NC,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20615/signup/?source=&s=,,,35.7201463,-79.1772371,35.7193313,-79.1741941,Link
Pittsburg,John Buckley Square,CA,US,6/30/2018,22,22,22,Families Belong Together,https://act.moveon.org/event/families-belong-together/20133/signup/?source=&s=,https://twitter.com/webbshan/status/1013120851086983168,,38.0279762,-121.8846806,38.0236822,-121.8804876,Link
Pittsburgh,Mellon Square,PA,US,6/30/2018,2000,2000,"2,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19848/signup/?source=&s=,https://triblive.com/local/allegheny/13816875-74/almost-2000-people-protest-trumps-immigration-policy-saturday-in-pittsburgh,,40.4406248,-79.9958864,40.4433988,-79.9958964,Link
